trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693596233.08956070,0,0,0,0,0,0,0,0,0
0,0.603632730449591,0.5967818084475647,1693596233.1991794,6,1,1,0.3,1,1,1e-20,1,1e-20
1,0.5,0.5,1693596233.285365,10,38996.76817062786,0.93459727010696,0.0045110584860376494,0.6163641639886454,0.5056994021387149,0.00020169177263162493,0.00010556345609688222,0.0016855696914008188
2,0.6020007037448898,0.5944792284263775,1693596233.3786862,6,0.16581894958588836,0.7716930087712701,0.06374966075626659,0.8561872870410456,0.8098410480517197,0.00018235501218044772,7.775893077365152e-06,54.77121965793856
3,0.6023494704454007,0.5956177385984442,1693596233.4711702,4,6.98897988703001e-06,0.5329041938936057,0.8210181022181542,0.5639278564625159,0.6610653966020896,5.1218687759726045e-08,1.7688841467551718e-06,8.636726151249813e-05
4,0.5937309458385039,0.5898580388151081,1693596233.5651326,10,0.00030974261172866854,0.9923747186426357,1.3920673413800773e-05,0.67584236813506,0.6904794446019265,0.43812830727669533,24.43650733569207,1.5736131084540683e-05
5,0.603926181324437,0.5970618238381415,1693596233.6618204,5,3.250084411696814e-05,0.9005279431631972,0.015530807279674305,0.5343450667290786,0.8018222381845557,0.9031202583964879,2.089688555577595e-08,0.00035849097026931145
6,0.5,0.5,1693596233.747891,9,71081.19745983473,0.7919822717504834,1.5651699031723056e-05,0.7232114537589514,0.5940862576466571,0.018644745882786685,1.422911845214654e-06,3.233710051425487e-07
7,0.6022729180432669,0.5965495166254289,1693596233.8442092,6,2.018498006911676e-07,0.8655792159903314,0.4991777247576652,0.9716590922316009,0.6873692525088881,0.009067810982730809,0.04167034755529183,0.0012758644966462205
8,0.6040452068795091,0.5931505725139448,1693596233.9356604,6,1.3041865366851323e-08,0.5339482017826847,0.00149307334362676,0.7157468154401804,0.5929418427598855,0.0019817696223345185,0.009791799889169017,0.16189918662313046
9,0.6023538352753469,0.5957354043974511,1693596234.0291855,4,0.0018077611216717779,0.9113912102487632,0.00862286836259281,0.8532577717027281,0.7552911233410913,1.9980971940900891,0.16098303646309498,4.598506755381655
10,0.6026520706753264,0.5933246339146789,1693596234.150244,1,2.496038055748924e-07,0.5143986331635847,0.0004924398218703111,0.6621176654211413,0.5206607709980856,50.07564117587828,0.003029107642438567,0.3899978934395128
11,0.6041029569372593,0.5951924712145547,1693596234.2765276,3,1.786452695512473e-08,0.6306053476690542,0.0005275101103374242,0.5123298145853816,0.8393900392125123,99.06589063877108,1.8948590844483836e-08,0.13126742737087602
